Date,Close,Open,High,Low,Volume,Change
2012-10-18,7465.41,7474.07,7495.45,7448.06,1300000.0,0.0001
2012-10-19,7408.76,7443.61,7449.22,7402.66,1410000.0,-0.0076
2012-10-22,7373.04,7333.24,7373.04,7310.79,1240000.0,-0.0048
2012-10-23,7337.48,7367.46,7375.5,7326.39,1200000.0,-0.0048
2012-10-24,7314.88,7288.14,7348.45,7274.88,1380000.0,-0.0031
2012-10-25,7262.08,7329.5,7339.21,7260.0,1510000.0,-0.0072
2012-10-26,7134.06,7291.98,7298.48,7132.77,2530000.0,-0.0176
2012-10-29,7091.67,7147.2,7165.1,7091.19,1830000.0,-0.0059
2012-10-30,7182.59,7131.15,7206.35,7131.15,1780000.0,0.0128
2012-10-31,7166.05,7220.02,7222.84,7139.17,1590000.0,-0.0023
2012-11-01,7179.64,7141.97,7188.23,7050.05,1920000.0,0.0019
2012-11-02,7210.47,7232.2,7235.13,7199.57,1970000.0,0.0043
2012-11-05,7185.36,7200.77,7216.3,7161.7,1250000.0,-0.0034999999999999996
2012-11-06,7236.68,7223.02,7236.68,7165.58,1260000.0,0.0070999999999999995
2012-11-07,7287.18,7249.75,7287.18,7220.04,1590000.0,0.006999999999999999
2012-11-08,7242.63,7229.0,7242.63,7190.99,1570000.0,-0.0060999999999999995
2012-11-09,7293.22,7206.16,7302.27,7170.29,1910000.0,0.006999999999999999
2012-11-12,7267.75,7303.93,7307.59,7264.02,1520000.0,-0.0034999999999999996
2012-11-13,7136.05,7262.65,7262.65,7129.87,1700000.0,-0.0181
2012-11-14,7159.75,7141.58,7165.86,7107.78,1290000.0,0.0033
2012-11-15,7143.84,7132.02,7158.74,7066.28,1330000.0,-0.0022
2012-11-16,7130.07,7125.24,7194.28,7108.84,1420000.0,-0.0019
2012-11-19,7129.04,7134.71,7162.12,7125.21,1210000.0,-0.0001
2012-11-20,7145.77,7179.1,7189.1,7141.16,1230000.0,0.0023
2012-11-21,7088.49,7150.24,7169.4,7061.87,1430000.0,-0.008
2012-11-22,7105.76,7116.8,7134.78,7097.38,1170000.0,0.0024
2012-11-23,7326.01,7148.97,7326.01,7148.97,2260000.0,0.031
2012-11-26,7407.37,7372.38,7407.37,7370.28,2200000.0,0.0111
2012-11-27,7430.2,7408.74,7436.78,7384.97,1990000.0,0.0031
2012-11-28,7434.93,7418.42,7434.93,7385.91,1970000.0,0.0006
2012-11-29,7503.55,7468.93,7521.52,7466.49,2640000.0,0.0092
2012-11-30,7580.17,7519.07,7590.69,7515.15,3160000.0,0.0102
2012-12-03,7599.91,7582.65,7628.29,7562.19,2440000.0,0.0026
2012-12-04,7600.98,7572.11,7600.98,7536.66,2490000.0,0.0001
2012-12-05,7649.05,7575.63,7650.12,7567.46,3150000.0,0.0063
2012-12-06,7623.26,7660.97,7673.62,7616.79,2730000.0,-0.0034000000000000002
2012-12-07,7642.26,7640.25,7672.92,7631.63,2330000.0,0.0025
2012-12-10,7609.5,7658.39,7669.05,7603.25,1910000.0,-0.0043
2012-12-11,7613.69,7621.0,7630.66,7556.67,2260000.0,0.0006
2012-12-12,7690.19,7653.9,7696.02,7645.54,2210000.0,0.01
2012-12-13,7757.09,7713.69,7757.09,7699.41,2970000.0,0.0087
2012-12-14,7698.77,7722.88,7723.74,7686.32,2680000.0,-0.0075
2012-12-17,7631.28,7664.97,7683.32,7603.51,2270000.0,-0.0088
2012-12-18,7643.74,7620.29,7643.74,7616.04,2020000.0,0.0016
2012-12-19,7677.47,7671.13,7685.63,7647.01,2500000.0,0.0044
2012-12-20,7595.46,7646.13,7646.13,7574.56,2250000.0,-0.010700000000000001
2012-12-21,7519.93,7592.57,7608.81,7491.52,2360000.0,-0.009899999999999999
2012-12-22,7540.14,7537.52,7546.9,7520.8,1210000.0,0.0027
2012-12-24,7535.52,7542.66,7566.09,7520.62,1590000.0,-0.0006
2012-12-25,7636.57,7556.24,7654.6,7543.83,1870000.0,0.0134
2012-12-26,7634.19,7646.51,7683.09,7633.83,1970000.0,-0.0003
2012-12-27,7648.41,7634.8,7661.01,7622.73,1800000.0,0.0019
